rid,src,all_gold,all_pred,all_margin,firstlast_gold,firstlast_pred,firstlast_margin,weighted_gold,weighted_pred,weighted_margin,fl+weight_gold,fl+weight_pred,fl+weight_margin,gold_fl_changed,gold_w_changed
213,round4_semtie,0.6061670780181885,0.6502482891082764,-0.04408121109008789,0.6061670780181885,0.6502482891082764,-0.04408121109008789,0.6502482891082764,0.6502482891082764,0.0,0.6502482891082764,0.6502482891082764,0.0,0,1
217,round4_maxpapers,0.5819094777107239,0.3799676299095154,0.2019418478012085,0.5819094777107239,0.3799676299095154,0.2019418478012085,0.5819094777107239,0.4013274908065796,0.1805819869041443,0.5819094777107239,0.37725114822387695,0.20465832948684692,0,0
218,round4_maxpapers,0.5759625434875488,0.5759625434875488,0.0,0.5759625434875488,0.5759625434875488,0.0,0.5759625434875488,0.5759625434875488,0.0,0.5759625434875488,0.5759625434875488,0.0,0,0
222,round3_semantic,0.5695725679397583,0.6250327229499817,-0.05546015501022339,0.5695725679397583,0.6250327229499817,-0.05546015501022339,0.5695725679397583,0.6250327229499817,-0.05546015501022339,0.5695725679397583,0.6250327229499817,-0.05546015501022339,0,0
226,round4_maxpapers,0.5523671507835388,0.5173684358596802,0.03499871492385864,0.5523671507835388,0.5040983557701111,0.048268795013427734,0.5523671507835388,0.5173684358596802,0.03499871492385864,0.5887874364852905,0.4732970595359802,0.1154903769493103,0,1
227,round4_semtie,0.5546441078186035,0.6537952423095703,-0.0991511344909668,0.5546441078186035,0.6537952423095703,-0.0991511344909668,0.6537952423095703,0.6537952423095703,0.0,0.6537952423095703,0.6537952423095703,0.0,0,1
228,round4_maxpapers,0.4013882279396057,0.4315224289894104,-0.030134201049804688,0.39394664764404297,0.4315224289894104,-0.03757578134536743,0.4013882279396057,0.4238762855529785,-0.022488057613372803,0.4013882279396057,0.4654161334037781,-0.06402790546417236,1,0
237,round4_semtie,0.6273294687271118,0.6273294687271118,0.0,0.6273294687271118,0.6273294687271118,0.0,0.6273294687271118,0.6273294687271118,0.0,0.6273294687271118,0.6273294687271118,0.0,0,1
238,round4_semtie,0.5460518598556519,0.670444905757904,-0.1243930459022522,0.5460518598556519,0.670444905757904,-0.1243930459022522,0.5460518598556519,0.670444905757904,-0.1243930459022522,0.5460518598556519,0.670444905757904,-0.1243930459022522,1,1
241,round4_maxpapers,0.5728137493133545,0.5728137493133545,0.0,0.5728137493133545,0.4725898802280426,0.10022386908531189,0.5728137493133545,0.4371701776981354,0.13564357161521912,0.5728137493133545,0.4725898802280426,0.10022386908531189,1,1
243,round4_maxpapers,0.6030265688896179,0.6030265688896179,0.0,0.6030265688896179,0.6030265688896179,0.0,0.6030265688896179,0.6030265688896179,0.0,0.6030265688896179,0.6030265688896179,0.0,0,1
244,round4_maxpapers,0.5550165772438049,0.5445257425308228,0.010490834712982178,0.5550165772438049,0.5445257425308228,0.010490834712982178,0.550607442855835,0.5445257425308228,0.006081700325012207,0.550607442855835,0.5445257425308228,0.006081700325012207,0,1
245,round4_maxpapers,0.5695370435714722,0.46124041080474854,0.10829663276672363,0.5695370435714722,0.46124041080474854,0.10829663276672363,0.5695370435714722,0.45100024342536926,0.1185368001461029,0.5695370435714722,0.45100024342536926,0.1185368001461029,0,1
247,round4_maxpapers,0.5507674217224121,0.5507674217224121,0.0,0.5507674217224121,0.5507674217224121,0.0,0.5507674217224121,0.5507674217224121,0.0,0.5507674217224121,0.5507674217224121,0.0,1,0
248,round3_semantic,0.6916972994804382,0.7233222723007202,-0.03162497282028198,0.6916972994804382,,,0.6916972994804382,0.7233222723007202,-0.03162497282028198,0.6916972994804382,,,1,1
249,round4_semtie,0.703208327293396,0.703208327293396,0.0,0.703208327293396,0.703208327293396,0.0,0.703208327293396,0.703208327293396,0.0,0.703208327293396,0.703208327293396,0.0,0,0
