rid,us_name,authorid,match_type,host_id,source,n_papers
265,Osama Muhammad Raisuddin,A5058258024,exact,,name_unique,5
278,Kaijian Liu,A5114859270,exact,I108468826,round3_semantic,13
283,Melissa L Emory,A5005191353,fuzzy,I115475287,round2_inst,14
291,Tong Huang,A5048703431,exact,I26538001,round3_semantic,18
294,Andy Berglund,A5087183660,exact,,name_unique,3
304,Abigail Stylianou,A5018301000,exact,,name_unique,1
307,Keary M Engle,A5063085607,alias,,round4_maxpapers,1
320,Xugui Zhou,A5084919916,exact,,name_unique,16
334,Andrew W Heard,A5102671469,fuzzy,,round3_semantic,9
335,Randall V Martin,A5102699968,alias,,round3_semantic,1
337,Aric M Bryant,A5091326575,fuzzy,,round3_semantic,3
346,Maxime C Van de Moortel,A5053789248,fuzzy,,round3_semantic,17
354,Trevor Caughlin,A5045239041,exact,,name_unique,15
356,Qi Guo,A5101185683,alias,,round3_semantic,3
366,Kuei-Chun Wang,A5033630040,exact,I55732556,round3_semantic,6
374,Dianqi Han,A5077785541,exact,,name_unique,19
383,Antonio Delgado,A5100907456,alias,,round3_semantic,3
397,Derek A Brown,A5022816786,alias,,round4_maxpapers,1
401,Yuheng Bu,A5114453096,alias,,round3_semantic,1
419,Kimberly A Logan,A5035365430,fuzzy,,round3_semantic,1
435,Kaiwen Hsiao,A5049908088,alias,,round3_semantic,14
444,Cong Hao,A5074300487,alias,I130701444,round3_semantic,6
447,John M Herbert,A5066827924,alias,,round4_maxpapers,1
450,Xi Wang,A5083126439,alias,,round3_semantic,6
463,Wei Zhang,A5102020788,exact,I63966007,round3_semantic,16
474,Dominic J Dal Bello,A5090313433,fuzzy,I78734956,round3_semantic,16
475,Francis G Garvan,A5002312876,fuzzy,,round4_maxpapers,9
479,Tafadzwa J Dube,A5062186547,fuzzy,,round4_maxpapers,9
488,Luca F Di Cerbo,A5029973500,fuzzy,I33213144,round3_semantic,7
494,Juie Shetye,A5014155969,exact,,name_unique,15
497,Arnoldus J Mathijssen,A5017072923,fuzzy,,round3_semantic,1
503,Yujie Xu,A5004851594,alias,I78577930,round2_inst,15
507,Franck J Vernerey,A5049834569,alias,,round4_maxpapers,1
512,Karen S Molek,A5047819232,fuzzy,I83683471,round2_inst,12
524,Mae S Gustin,A5113737358,fuzzy,,round3_semantic,4
525,Anita Nikolich,A5033575565,alias,,round3_semantic,13
541,Michelle Teplensky,A5040891672,alias,I111088046,round2_inst,16
548,Christopher Henderson,A5013420356,alias,,round3_semantic,10
553,Michael A Schultz,A5104075505,fuzzy,I201448701,round2_inst,15
567,Eric Petersen,A5059580642,alias,I1629065,round2_inst,15
574,Hilary R Katz,A5043922766,fuzzy,I94339441,round2_inst,7
577,Bruno G Poggi Cevallos,A5057696893,fuzzy,,round3_semantic,1
586,Erica Cline,A5111125734,alias,I201448701,round3_semantic,1
587,Kathryn S Conger,A5008706150,fuzzy,,round3_semantic,13
591,Amelia A Becker,A5055029360,fuzzy,,round3_semantic,5
593,Keith D Schloeman,A5067776696,fuzzy,,round4_maxpapers,1
596,Shane A Moeykens,A5046905253,fuzzy,I7947594,round2_inst,4
597,Katherine M Collins,A5069214352,fuzzy,,round3_semantic,20
600,Satarupa Bhattacharjee,A5103247006,alias,,round3_semantic,19
608,Peter D Nencka,A5027749250,fuzzy,I83328450,round2_inst,14
616,Elizabeth Hetherington,A5041473638,alias,,round3_semantic,19
623,Heather M Savage,A5057913967,fuzzy,,round4_maxpapers,8
624,April Kilgore,A5070720520,exact,,name_unique,2
631,Lars Hansen,A5028242520,exact,I130238516,round3_semantic,12
638,Tamsen J Dunn,A5055045900,fuzzy,,round3_semantic,3
640,Sevgi Z Gurbuz,A5034000745,alias,,round3_semantic,1
641,Sara J Germain,A5040497616,fuzzy,I12834331,round2_inst,16
653,CAIZHI ZHOU,A5070803455,alias,,round3_semantic,9
656,Giuseppe Martone,A5022462097,exact,,name_unique,16
663,Jennifer Crodelle,A5052582483,alias,I195575238,round2_inst,20
665,Alexey Leontyev,A5075817548,alias,,round3_semantic,19
668,Matt D Carling,A5057993560,fuzzy,I12834331,round3_semantic,3
670,Jeremy W Bakelar,A5030009862,fuzzy,I218822139,round2_inst,13
674,Aiday Sikhova,A5057874334,exact,,name_unique,3
677,Piran R Kidambi,A5084322134,alias,,round4_maxpapers,1
684,Sunita R Shah Walter,A5111090797,fuzzy,,round3_semantic,1
688,Claire E Jasper,A5010979331,fuzzy,,round3_semantic,1
690,Jennifer J Ross,A5003981889,fuzzy,,round3_semantic,9
695,Stacy Larochelle,A5045294573,exact,,name_unique,19
697,Natali C Huggins,A5070080031,fuzzy,,round3_semantic,13
702,Ian T McCrum,A5033117815,alias,,round4_maxpapers,1
708,Wenbin Zhang,A5101785938,exact,I19700959,round3_semantic,16
712,Katherine Yaw,A5049061529,alias,I2613432,round2_inst,17
716,Goli Nossoni,A5034335594,exact,I40253897,round3_semantic,5
717,Yohanna Mejia Cruz,A5085393219,exact,,name_unique,1
718,Benjamin Nachman,A5107211715,alias,I97018004,round3_semantic,19
721,Katherine E McGhee,A5050915033,fuzzy,,round3_semantic,1
723,Stuart E Jones,A5073521336,fuzzy,,round3_semantic,4
730,Monica M Carlsen-Krause,A5022053071,fuzzy,,round4_maxpapers,16
733,Rob Denton,A5057357183,exact,,name_unique,4
734,Lorena Torres Martinez,A5058360657,exact,,name_unique,16
739,Annalise Klein,A5083788936,exact,,name_unique,1
740,Karl R Schmitt,A5080580162,fuzzy,I112164570,round2_inst,6
741,Hang J Qi,A5054100391,fuzzy,,round3_semantic,4
746,eugene l mahmoud,A5025445247,fuzzy,,round3_semantic,5
747,Mallory M Rice,A5059121507,fuzzy,I226560621,round2_inst,11
759,Manuel A Jimenez,A5012010509,fuzzy,I60388903,round3_semantic,18
761,Maria S Peresin,A5041149174,alias,,round4_maxpapers,2
778,Jan Edwards,A5109680704,alias,I62315932,round2_inst,3
781,YING JIN,A5017980493,alias,,round3_semantic,19
784,Alia L Khan,A5076002317,alias,,round4_maxpapers,1
792,Chi Zhou,A5037407296,alias,,round3_semantic,18
795,Kristin M Rosler,A5030485166,fuzzy,,round4_maxpapers,3
802,Brian J Lee,A5090613399,fuzzy,,round3_semantic,1
808,Murat Kocaoglu,A5098748959,alias,,round3_semantic,4
812,Joanna J Cielocha,A5034654940,fuzzy,I114250311,round2_inst,18
815,Bert Rivera-Marchand,A5058686116,exact,I71146071,round2_inst,15
820,Julie R Robinson,A5012110847,alias,,round4_maxpapers,1
832,Salvatore Garofalo,A5086126814,fuzzy,I111455621,round3_semantic,7
833,Yichen Zhang,A5100341422,alias,,round3_semantic,15
838,Tegan S Brennan,A5011404640,fuzzy,I108468826,round2_inst,19
842,Lindsey Applegate,A5053887418,fuzzy,,round4_maxpapers,13
845,Barbara Juncosa,A5042246916,alias,,round3_semantic,13
849,Stephen C Brozina,A5107104514,fuzzy,I161203489,round2_inst,1
859,Naledi M Saul,A5032471873,fuzzy,I180670191,round2_inst,7
866,Moamer Hasanovic,A5034837541,exact,,name_unique,17
867,Husam A Alshareef,A5086184476,fuzzy,I114312114,round2_inst,7
871,Samantha N Jewell,A5106606256,fuzzy,,round3_semantic,1
872,Frank A Gomez,A5041020929,alias,,round4_maxpapers,2
877,Sarah A Wilson,A5101938338,fuzzy,I44265643,round3_semantic,10
880,Scott Frees,A5049731390,exact,,name_unique,11
894,Weiping Pei,A5089019010,alias,I87208437,round2_inst,13
897,Ying Sun,A5102893594,alias,,round3_semantic,19
899,Duck Bong Kim,A5063758814,alias,,round3_semantic,2
908,Ourania Kosti,A5040287827,alias,I1318687432,round2_inst,5
910,Gregory C Durrett,A5034923230,fuzzy,,round3_semantic,1
918,Wei E Gordon,A5012009454,fuzzy,,round4_maxpapers,6
919,Eva L Dyer,A5031430893,alias,,round3_semantic,1
922,Peng Gao,A5102796137,alias,I859038795,round3_semantic,9
923,Richard P Vaughn,A5043975231,fuzzy,,round4_maxpapers,6
925,Tamra Legron-Rodriguez,A5020745292,exact,,name_unique,7
928,Tyler C Maley,A5015187338,fuzzy,,round4_maxpapers,1
930,Rebecca M Reck,A5004598537,alias,,round4_maxpapers,1
931,David Tian,A5033468770,alias,,round3_semantic,12
932,Lily F Durkee,A5054270488,fuzzy,,round3_semantic,9
933,Dina Zohrabi Alaee,A5042055666,alias,,round3_semantic,20
935,John Dabiri,A5097994185,fuzzy,I122411786,round3_semantic,2
936,Christopher Lore,A5064622063,exact,,name_unique,8
938,Kristine M Christensen,A5052417986,fuzzy,,round4_maxpapers,9
939,Darya Aleinikava,A5088517422,exact,,name_unique,19
941,Vini Chaudhary,A5036141011,exact,,name_unique,6
944,Bingzhe Li,A5101323339,alias,,round3_semantic,1
948,Md Tahmidul Islam Molla,A5003217702,fuzzy,,round4_maxpapers,15
958,Mark O Riedl,A5108074094,fuzzy,I130701444,round3_semantic,5
967,John E Majoris,A5063714201,alias,,round4_maxpapers,1
968,Beth Frankel-Merenstein,A5081411342,alias,I154264771,round2_inst,14
971,Pamela K Kerrigan,A5084001296,fuzzy,I89580169,round2_inst,2
977,Morgan P Opie,A5062177187,fuzzy,,round3_semantic,19
987,Sadie S Elliott,A5112869231,fuzzy,,round4_maxpapers,2
989,Jessica M Hutchison,A5075245889,fuzzy,,round4_maxpapers,10
991,Ari Krakowski,A5052202191,exact,,name_unique,15
995,Pamela J Wisniewski,A5061993312,alias,,round4_maxpapers,1
997,Justin W Graham,A5084100653,fuzzy,I184654094,round2_inst,7
999,Jennifer Detlor,A5018464143,alias,I135310074,round2_inst,5
1000,Ander J Sundell,A5057897435,fuzzy,,round4_maxpapers,6
1008,Tamara M Floyd Smith,A5069579821,fuzzy,,round3_semantic,18
1013,Rana Khan,A5010555596,alias,,round3_semantic,16
1015,William C Pfalzgraff,A5044288787,fuzzy,,round3_semantic,16
1018,Alexis R Torres,A5052409584,fuzzy,,round4_maxpapers,15
1019,Kyalamboka Brown,A5062194845,alias,,round3_semantic,1
1021,Evan W Reynolds,A5035253532,fuzzy,,round3_semantic,7
1025,Chad Dorsey,A5031767292,exact,,name_unique,17
1026,Steven M McGee,A5103870097,exact,,name_unique,7
1030,Siobhán M Cully,A5113408003,fuzzy,,round3_semantic,1
1032,David H Bromwich,A5087053284,exact,,name_unique,1
1036,Kimberly C Mullane,A5070122377,alias,,round4_maxpapers,2
1044,Ross J Benbow,A5075584349,fuzzy,I135310074,round2_inst,18
1058,Samuel K Fleming,A5088993558,fuzzy,,round4_maxpapers,9
1060,Ignacio L Montoya,A5032807307,fuzzy,,round3_semantic,6
1065,Sarah Beetham,A5011753205,alias,I177721651,round2_inst,17
1067,Shiyi Chen,A5076725206,alias,I155093810,round3_semantic,13
1069,Derek Gingerich,A5045986761,alias,I124727415,round2_inst,20
1070,Willis B Jones,A5056631370,fuzzy,I11874761,round3_semantic,16
1073,Jorge J Rocca,A5067474334,alias,I92446798,round2_inst,1
1086,Jose Carrion Muniz,A5015635657,fuzzy,,round3_semantic,13
1094,Stacy L Yager,A5004463434,fuzzy,,round3_semantic,1
1095,Emily Camelio,A5114344923,fuzzy,I4210092198,round2_inst,1
1099,Blaire M Porter,A5048553544,fuzzy,,round3_semantic,17
1106,David Hickey,A5111455306,alias,I87216513,round3_semantic,14
1108,Daniel D Davidchik,A5007308381,fuzzy,,round3_semantic,1
1111,Willow M Reed,A5081728606,fuzzy,,round3_semantic,1
1114,Juan C Santos Garcia,A5023928269,alias,,round4_maxpapers,1
1141,Karina I Vielma,A5017908648,fuzzy,,round3_semantic,11
1142,Artemisia Spyrou,A5103739141,exact,,name_unique,2
1147,Jorge A Marchand,A5059494605,fuzzy,I201448701,round2_inst,15
1155,Raquel A Martinez,A5017185588,exact,,name_unique,3
1157,Donald J Siegel,A5026153077,alias,,round4_maxpapers,1
1160,Bihui Zhu,A5100810175,alias,,round3_semantic,6
1162,Eric Wade,A5059472039,alias,,round3_semantic,17
1172,Ngan Le,A5102698991,alias,,round3_semantic,6
1173,Ilker Yildirim,A5103134957,exact,I32971472,round3_semantic,19
1174,Ning Sui,A5103228293,exact,I137902535,round2_inst,17
1178,Sara Thoi,A5062005403,exact,,name_unique,1
1183,Mandi Schaeffer Fry,A5058739367,exact,,name_unique,3
1184,Ali Khabari,A5035148445,exact,,name_unique,12
1185,Benjamin Knudsen,A5081372010,exact,,name_unique,6
1186,Rebecca H Jackson,A5104684575,fuzzy,I121934306,round2_inst,1
1196,C A Figg,A5080259642,fuzzy,,round4_maxpapers,1
1197,Mary A Rogalski,A5014719938,fuzzy,I135474949,round2_inst,20
1201,Christopher Baechle,A5004639572,exact,,name_unique,12
1210,Alex Davies,A5024907657,alias,,round3_semantic,7
1211,Kyle E Murphy,A5059597593,fuzzy,,round3_semantic,13
1218,Sara C Massey,A5082881270,fuzzy,,round3_semantic,8
1219,Alan Legg,A5085046703,alias,,round4_maxpapers,18
1222,Onyekwere M Ogba,A5053250680,fuzzy,,round3_semantic,1
1223,Cassandra Joiner,A5033965684,alias,,round3_semantic,17
1225,Tom G Driver,A5017654256,alias,,round4_maxpapers,1
1237,Colleen Delaney,A5025459116,alias,,round3_semantic,18
1238,Jacqueline Clifford,A5088840657,exact,,name_unique,2
1241,Jacqueline A O'Connor,A5025952116,fuzzy,,round3_semantic,5
1245,Benjamin Morris,A5102748387,alias,,round3_semantic,9
1252,Jonathan Nicholas,A5013356472,alias,,round3_semantic,13
1257,Samuel D Punshon-Smith,A5078922502,fuzzy,I114832834,round2_inst,15
1273,Tyler M Stack,A5020538270,fuzzy,I196272386,round2_inst,13
1278,Hayley Schiebel,A5066272281,exact,,name_unique,19
1286,Yu Su,A5076040901,alias,,round3_semantic,13
1301,Vicki P Losick,A5011795990,fuzzy,I103531236,round2_inst,20
1302,Michael Ham,A5005763135,exact,I125467818,round2_inst,16
1311,Dessie L Clark,A5075882352,fuzzy,I135310074,round2_inst,13
1312,David L Hysell,A5113159356,fuzzy,I205783295,round2_inst,4
1313,Kiranmayi Mangalgiri,A5033740397,exact,,name_unique,14
1322,Kimberly J Coleman,A5054889406,fuzzy,,round3_semantic,4
1326,Miguel F Larsen,A5007414466,alias,,round4_maxpapers,2
1329,Dena J Haritos Tsamitis,A5010284909,fuzzy,I74973139,round2_inst,3
1332,Holly M Golecki,A5021150106,alias,,round3_semantic,1
1334,Hengameh Bagherian,A5108322337,alias,,round3_semantic,2
1338,Jonathan S Anjaria,A5019622579,fuzzy,I6902469,round2_inst,19
1349,Zufen Wang,A5040157910,alias,I75256744,round4_maxpapers,10
1363,Leora Yetnikoff,A5014892173,exact,,name_unique,17
1367,Youzhi Bao,A5021693984,exact,,round4_maxpapers,3
1373,Di Fang,A5071221629,alias,I170897317,round2_inst,18
1375,Eric L Buckles,A5009022430,fuzzy,I64880365,round2_inst,18
1378,Laureano Gherardi Arbizu,A5003686199,exact,,name_unique,1
1379,Lienne Sethna,A5034016317,alias,,round3_semantic,11
1383,Yuri A Omelchenko,A5001944917,alias,,round4_maxpapers,1
1389,Erin M Perchiniak,A5086696502,fuzzy,I126548940,round2_inst,13
1390,Joseph A Skrivanek,A5061441101,fuzzy,,round3_semantic,2
1391,Philip Engel,A5010452405,alias,,round3_semantic,14
1393,Matthew J Paul,A5078858848,alias,,round4_maxpapers,1
1399,Jason T Wright,A5014359103,alias,,round4_maxpapers,2
1401,Srikanthan Ramesh,A5055206579,alias,I115475287,round3_semantic,10
1406,Mary E Foltz,A5002949222,fuzzy,I115475287,round2_inst,10
1408,Rich Adams,A5037119211,alias,,round3_semantic,3
1409,Sergio Gago Masague,A5022346428,alias,I204250578,round3_semantic,20
1418,Felipe Andres Aburto Guerrero,A5001789554,fuzzy,,round3_semantic,3
1421,Christin N Bibby,A5073017252,fuzzy,I121820613,round2_inst,16
1427,Ping Zhong,A5009460929,alias,,round3_semantic,18
1430,Anthony Boccanfuso,A5069631223,alias,I4210113537,round2_inst,11
1434,Monireh Mahmoudi,A5101272918,exact,I87216513,round2_inst,1
1435,Daniel Tannenbaum,A5061677943,alias,I114395901,round2_inst,20
